Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
32364,7347,2,5/04/2016 0:00,,
32365,7329,2,5/04/2016 0:00,,
32366,7409,2,5/04/2016 0:00,,
32367,7394,2,5/04/2016 0:00,,
32368,6920,2,5/04/2016 0:00,,
32369,7455,2,5/04/2016 0:00,,
32370,7300,2,5/04/2016 0:00,,
32371,7301,2,5/04/2016 0:00,,
32372,7333,2,5/04/2016 0:00,,
32373,7345,2,5/04/2016 0:00,,
32374,7350,2,5/04/2016 0:00,,
32375,7334,2,5/04/2016 0:00,,
32376,7380,2,5/04/2016 0:00,,
32377,1031,3,5/04/2016 0:00,,
32378,7456,2,5/04/2016 0:00,,
32379,2009,5,6/04/2016 0:00,10887,
32380,2009,2,6/04/2016 0:00,,
32381,7470,2,6/04/2016 0:00,,
32382,7458,5,6/04/2016 0:00,10889,
32383,92,5,6/04/2016 0:00,10889,
32384,7472,2,6/04/2016 0:00,,
32385,5350,2,6/04/2016 0:00,,
32386,1103,2,6/04/2016 0:00,,
32387,7480,10,6/04/2016 0:00,,
32388,7480,3,6/04/2016 0:00,,
32389,7403,2,6/04/2016 0:00,,
32390,7486,2,6/04/2016 0:00,,
32391,7466,2,6/04/2016 0:00,,
32392,7478,3,6/04/2016 0:00,,
32393,7490,15,6/04/2016 0:00,,
32394,7490,10,6/04/2016 0:00,,
32395,7460,2,6/04/2016 0:00,,
32396,7492,2,6/04/2016 0:00,,
32397,7460,5,6/04/2016 0:00,1652,
32398,7460,2,7/04/2016 0:00,,
32399,7460,5,7/04/2016 0:00,6634,
32400,7292,2,7/04/2016 0:00,,
32401,7292,5,7/04/2016 0:00,6634,
32402,7493,3,7/04/2016 0:00,,
32403,7478,10,7/04/2016 0:00,,
32404,7460,8,7/04/2016 0:00,10909,100
32405,7460,2,7/04/2016 0:00,,
32406,7460,5,7/04/2016 0:00,4322,
32408,7485,1,7/04/2016 0:00,,
32409,7463,2,7/04/2016 0:00,,
32410,7494,2,7/04/2016 0:00,,
32411,7493,3,7/04/2016 0:00,,
32412,7494,2,7/04/2016 0:00,,
32413,7494,2,7/04/2016 0:00,,
32414,7494,2,7/04/2016 0:00,,
32415,7460,2,7/04/2016 0:00,,
32416,7496,2,7/04/2016 0:00,,
32417,7497,2,7/04/2016 0:00,,
32418,7497,2,7/04/2016 0:00,,
32419,7478,10,7/04/2016 0:00,,
32420,7498,2,7/04/2016 0:00,,
32421,7496,2,7/04/2016 0:00,,
32422,7497,2,7/04/2016 0:00,,
32423,7488,2,7/04/2016 0:00,,
32424,7495,2,7/04/2016 0:00,,
32425,7460,5,7/04/2016 0:00,2075,
32426,7494,2,7/04/2016 0:00,,
32427,7492,2,7/04/2016 0:00,,
32428,7479,2,7/04/2016 0:00,,
32429,7491,2,7/04/2016 0:00,,
32431,6938,2,7/04/2016 0:00,,
32432,7489,2,7/04/2016 0:00,,
32433,7487,2,7/04/2016 0:00,,
32434,7486,2,7/04/2016 0:00,,
32435,7481,2,7/04/2016 0:00,,
32436,7485,2,7/04/2016 0:00,,
32437,7288,2,7/04/2016 0:00,,
32438,7484,2,7/04/2016 0:00,,
32439,7483,2,7/04/2016 0:00,,
32440,7456,2,7/04/2016 0:00,,
32441,7464,2,7/04/2016 0:00,,
32442,7469,2,7/04/2016 0:00,,
32443,7466,2,7/04/2016 0:00,,
32445,7482,2,7/04/2016 0:00,,
32446,7478,2,7/04/2016 0:00,,
32447,7462,2,7/04/2016 0:00,,
32448,7474,2,7/04/2016 0:00,,
32449,7473,2,7/04/2016 0:00,,
32450,7468,2,7/04/2016 0:00,,
32451,7461,2,7/04/2016 0:00,,
32452,7448,2,7/04/2016 0:00,,
32454,7492,2,7/04/2016 0:00,,
32455,7322,1,7/04/2016 0:00,,
32456,7493,10,8/04/2016 0:00,,
32457,4510,2,8/04/2016 0:00,,
32458,3775,2,8/04/2016 0:00,,
32459,7500,2,8/04/2016 0:00,,
32460,7498,3,8/04/2016 0:00,,
32461,7499,2,8/04/2016 0:00,,
32462,7270,2,8/04/2016 0:00,,
32463,7499,2,8/04/2016 0:00,,
32464,7470,3,8/04/2016 0:00,,
32465,7463,3,8/04/2016 0:00,,
32466,7492,3,8/04/2016 0:00,,
32467,7474,1,8/04/2016 0:00,,
32468,7460,2,8/04/2016 0:00,,
32469,7460,5,8/04/2016 0:00,6825,
32470,7494,2,8/04/2016 0:00,,
32471,7494,2,8/04/2016 0:00,,
32472,7502,2,8/04/2016 0:00,,
32473,7479,16,8/04/2016 0:00,,
32474,7494,2,8/04/2016 0:00,,
32475,266,2,8/04/2016 0:00,,
32476,273,2,8/04/2016 0:00,,
32477,7194,2,8/04/2016 0:00,,
32478,6699,2,8/04/2016 0:00,,
32479,6693,5,8/04/2016 0:00,6029,
32480,7502,2,8/04/2016 0:00,,
32481,7501,2,8/04/2016 0:00,,
32482,7500,2,8/04/2016 0:00,,
32483,7499,2,8/04/2016 0:00,,
32484,7452,2,8/04/2016 0:00,,
32485,6749,1,9/04/2016 0:00,,
32486,6749,2,9/04/2016 0:00,,
32487,7503,2,9/04/2016 0:00,,
32488,7496,2,9/04/2016 0:00,,
32489,7497,2,9/04/2016 0:00,,
32490,7460,16,9/04/2016 0:00,,
32491,7494,2,9/04/2016 0:00,,
32493,7501,2,9/04/2016 0:00,,
32494,7491,2,9/04/2016 0:00,,
32495,1755,2,10/04/2016 0:00,,
32496,1761,2,10/04/2016 0:00,,
32497,7252,2,10/04/2016 0:00,,
32498,7505,2,10/04/2016 0:00,,
32499,7497,2,10/04/2016 0:00,,
